,CBS_Class,CBS_MY_Order,CBS_MY_Rate,CBS_XS_MY,CBS_DXPZ,CBS_XSCS,CBS_CRTAX,Book_Class,CBS_BK_Average_price,CBS_BK_MY_Order,CBS_BK_MY_Rate,CBS_BK_XS_MY,CBS_BK_DXPZ,CBS_BK_XSCS,FXS_Class,User_Area,User_Get_Price,FXS_Discount,FXS_BK_MY_Order,FXS_BK_MY_Rate,FXS_BK_MY,FXS_BK_DXPZ,FXS_BK_XSCS,FXS_BK_Average_Price
119,1,10,1.3445,116894424.6,3754,2631545,0.07,8,35.96,42,0.0835,7984.0,2,222,4,3,9.0,0.585,34,0.1178,1332.0,1,37,36.0
120,1,10,1.3445,116894424.6,3754,2631545,0.07,1,46.62,2,4.69,73381109.2,2390,1574089,2,1,9.0,0.585,4,3.2405,9271114.0,1827,207355,44.71
121,1,10,1.3445,116894424.6,3754,2631545,0.08,5,37.92,217,0.0112,71018.0,7,1873,2,1,9.0,0.585,272,0.004,5748.0,4,152,37.82
122,1,10,1.3445,116894424.6,3754,2631545,0.07,3,40.65,9,2.4136,37954438.8,792,933694,2,1,9.0,0.585,11,1.7061,5623036.6,652,140037,40.15
123,1,10,1.3445,116894424.6,3754,2631545,0.08,7,48.77,76,0.1374,881121.0,67,18068,2,1,9.0,0.585,88,0.1034,114184.2,52,2399,47.6
124,1,10,1.3445,116894424.6,3754,2631545,0.07,2,42.69,107,0.1263,1947308.6,237,45619,2,1,9.0,0.585,129,0.0694,229001.8,188,6417,35.69
125,1,10,1.3445,116894424.6,3754,2631545,0.07,4,45.73,48,0.5307,2651445.0,259,57980,2,1,9.0,0.585,63,0.2926,284850.0,196,6588,43.24
126,1,10,1.3445,116894424.6,3754,2631545,0.07,8,35.96,42,0.0835,7984.0,2,222,2,1,9.0,0.585,36,0.0481,1548.0,1,43,36.0
127,1,10,1.3445,116894424.6,3754,2631545,0.07,1,46.62,2,4.69,73381109.2,2390,1574089,1,1,9.0,0.585,3,4.474,24762470.3,2118,534890,46.29
128,1,10,1.3445,116894424.6,3754,2631545,0.08,5,37.92,217,0.0112,71018.0,7,1873,1,1,9.0,0.585,192,0.0126,30245.0,6,798,37.9
129,1,10,1.3445,116894424.6,3754,2631545,0.07,3,40.65,9,2.4136,37954438.8,792,933694,1,1,9.0,0.585,8,2.4816,13626224.4,730,336791,40.46
130,1,10,1.3445,116894424.6,3754,2631545,0.08,7,48.77,76,0.1374,881121.0,67,18068,1,1,9.0,0.585,66,0.1702,338592.2,64,7001,48.36
131,1,10,1.3445,116894424.6,3754,2631545,0.07,2,42.69,107,0.1263,1947308.6,237,45619,1,1,9.0,0.585,114,0.1065,683797.8,214,15241,44.87
132,1,10,1.3445,116894424.6,3754,2631545,0.07,4,45.73,48,0.5307,2651445.0,259,57980,1,1,9.0,0.585,40,0.6116,1049664.6,227,22417,46.82
133,1,10,1.3445,116894424.6,3754,2631545,0.07,8,35.96,42,0.0835,7984.0,2,222,1,1,9.0,0.585,41,0.0871,2584.0,2,72,35.89
134,1,10,1.3445,116894424.6,3754,2631545,0.07,1,46.62,2,4.69,73381109.2,2390,1574089,5,4,9.0,0.585,1,11.3522,6447122.6,1138,132667,48.6
135,1,10,1.3445,116894424.6,3754,2631545,0.08,5,37.92,217,0.0112,71018.0,7,1873,5,4,9.0,0.585,59,0.083,14858.0,1,391,38.0
136,1,10,1.3445,116894424.6,3754,2631545,0.07,3,40.65,9,2.4136,37954438.8,792,933694,5,4,9.0,0.585,1,6.6121,3110034.0,458,75678,41.1
137,1,10,1.3445,116894424.6,3754,2631545,0.08,7,48.77,76,0.1374,881121.0,67,18068,5,4,9.0,0.585,23,1.1508,67294.8,36,1226,54.89
138,1,10,1.3445,116894424.6,3754,2631545,0.07,2,42.69,107,0.1263,1947308.6,237,45619,5,4,9.0,0.585,35,0.6471,239980.0,47,4283,56.03
139,1,10,1.3445,116894424.6,3754,2631545,0.07,4,45.73,48,0.5307,2651445.0,259,57980,5,4,9.0,0.585,10,2.2333,209297.6,95,4593,45.57
